 DEBUG: Wrote fortran_pgf.bin
Grid: 127x64x20, L=64, ntrunc=40
Running 2500 steps (208.3 hours)

 step   hour |        vrt        div          T       lnps |    dvrt_dt    ddiv_dt      dT_dt   dlnps_dt |       ps_F       ps_J
--------------------------------------------------------------------------------------------------------------------------------------------
    1    0.1 |  1.123e-03  1.964e+00  9.964e-07  2.653e-07 |  2.098e-12  7.993e-12  1.752e-06  1.852e-08 |     999.61     999.61
    2    0.2 |  1.121e-03  1.980e+00  1.925e-06  5.191e-07 |  2.044e-12  1.073e-11  1.683e-06  1.811e-08 |     999.27     999.27
  *** ALERT: rel_err > 1% at step 2! vrt=1.121e-03 div=1.980e+00 T=1.925e-06 lnps=5.191e-07
    3    0.2 |  1.119e-03  2.001e+00  2.726e-06  7.534e-07 |  1.918e-12  1.940e-11  1.496e-06  1.689e-08 |     999.01     999.01
  *** ALERT: rel_err > 1% at step 3! vrt=1.119e-03 div=2.001e+00 T=2.726e-06 lnps=7.534e-07
    4    0.3 |  1.116e-03  2.001e+00  3.366e-06  9.585e-07 |  1.728e-12  2.492e-11  1.249e-06  1.506e-08 |     998.85     998.84
  *** ALERT: rel_err > 1% at step 4! vrt=1.116e-03 div=2.001e+00 T=3.366e-06 lnps=9.585e-07
    5    0.4 |  1.113e-03  1.947e+00  3.792e-06  1.126e-06 |  1.526e-12  2.784e-11  1.065e-06  1.298e-08 |     998.79     998.78
  *** ALERT: rel_err > 1% at step 5! vrt=1.113e-03 div=1.947e+00 T=3.792e-06 lnps=1.126e-06
    6    0.5 |  1.110e-03  1.992e+00  4.140e-06  1.251e-06 |  1.649e-12  2.725e-11  1.241e-06  1.142e-08 |     998.83     998.82
  *** ALERT: rel_err > 1% at step 6! vrt=1.110e-03 div=1.992e+00 T=4.140e-06 lnps=1.251e-06
    7    0.6 |  1.107e-03  1.994e+00  4.392e-06  1.336e-06 |  1.971e-12  2.555e-11  1.741e-06  9.618e-09 |     998.91     998.91
  *** ALERT: rel_err > 1% at step 7! vrt=1.107e-03 div=1.994e+00 T=4.392e-06 lnps=1.336e-06
    8    0.7 |  1.105e-03  1.982e+00  4.694e-06  1.430e-06 |  2.295e-12  2.273e-11  2.184e-06  1.027e-08 |     998.97     998.96
  *** ALERT: rel_err > 1% at step 8! vrt=1.105e-03 div=1.982e+00 T=4.694e-06 lnps=1.430e-06
    9    0.8 |  1.104e-03  1.998e+00  4.893e-06  1.490e-06 |  2.601e-12  2.294e-11  2.488e-06  1.264e-08 |     999.06     999.05
  *** ALERT: rel_err > 1% at step 9! vrt=1.104e-03 div=1.998e+00 T=4.893e-06 lnps=1.490e-06
   10    0.8 |  1.104e-03  1.941e+00  4.978e-06  1.515e-06 |  2.908e-12  3.061e-11  2.706e-06  1.473e-08 |     999.10     999.10
  *** ALERT: rel_err > 1% at step 10! vrt=1.104e-03 div=1.941e+00 T=4.978e-06 lnps=1.515e-06
  *** ALERT: rel_err > 1% at step 11! vrt=1.107e-03 div=2.000e+00 T=5.586e-06 lnps=1.504e-06
  *** ALERT: rel_err > 1% at step 12! vrt=1.111e-03 div=1.952e+00 T=6.330e-06 lnps=1.510e-06
  *** ALERT: rel_err > 1% at step 13! vrt=1.116e-03 div=1.978e+00 T=7.433e-06 lnps=1.540e-06
  *** ALERT: rel_err > 1% at step 14! vrt=1.124e-03 div=1.953e+00 T=8.185e-06 lnps=1.550e-06
